AeResponsible,Consultant,ConsultantCode2,ContractedSpecialty,Deleted,EmailId,ExternalCons,ForenamePfx,GMCCode,Inits,IssuerCode,KornerCode,Midwife,Name,PrimarySpecialty,ProfessionalCareDet,ProviderCode,Surname
,C70000,C70000,GEN,,,,,,,,,,,GEN,,RVK,SMITH
,C70001,C70001,CARD,,,,,,,,,,,CARD,,RVK,JONES
,C70002,C70002,ORTH,,,,,,,,,,,ORTH,,RVK,PATEL
,C70003,C70003,SURG,,,,,,,,,,,SURG,,RVK,WILLIAMS
,C70004,C70004,MED,,,,,,,,,,,MED,,RVK,BROWN
,C70005,C70005,PAED,,,,,,,,,,,PAED,,RVK,SHARMA
,C70006,C70006,OBS,,,,,,,,,,,OBS,,RVK,TAYLOR
,C70007,C70007,PSYCH,,,,,,,,,,,PSYCH,,RVK,AHMED
,C70008,C70008,OPHTH,,,,,,,,,,,OPHTH,,RVK,DAVIS
,C70009,C70009,ENT,,,,,,,,,,,ENT,,RVK,WILSON
,C70000,C70000,GEN,,,,,,,,,,,GEN,,RVK,HARRIS
,C70001,C70001,CARD,,,,,,,,,,,CARD,,RVK,MARTIN
,C70002,C70002,ORTH,,,,,,,,,,,ORTH,,RVK,THOMPSON
,C70003,C70003,SURG,,,,,,,,,,,SURG,,RVK,GARCIA
,C70004,C70004,MED,,,,,,,,,,,MED,,RVK,MARTINEZ
,C70005,C70005,PAED,,,,,,,,,,,PAED,,RVK,ROBINSON
,C70006,C70006,OBS,,,,,,,,,,,OBS,,RVK,CLARK
,C70007,C70007,PSYCH,,,,,,,,,,,PSYCH,,RVK,LEWIS
,C70008,C70008,OPHTH,,,,,,,,,,,OPHTH,,RVK,LEE
,C70009,C70009,ENT,,,,,,,,,,,ENT,,RVK,WALKER
