Address,DateJoined,DateJoinedPractice,DateLeft,DateLeftPractice,DohCode,Fax,GeneralPractitionerDateJoinedFhSchemeInt,GeneralPractitionerDateJoinedGpPracticeInter,GeneralPractitionerDateLeftFhSchemeInternal,GeneralPractitionerDateLeftGpPracticeInterna,GpAddrLine2,GpAddrLine3,GpAddrLine4,GpAddrOnOneLine,GpCode,GpEmailId,GpfhCode,GpName,GpName_1,GpName_2,HaaCode,Initials,LeadGpExt,LeadGpInt,MfRecStsInd,NationalCode,PathologyGpCode,Phone,Postcode,PracticeCode,Surname,Title
,,,,,,,202301151645,,,,,,,,G1234567,,,,,,,,,,,,G1234567,,SW1A 2AA,P40001,SMITH,
,,,,,,,202203040845,,,,,,,,G2345678,,,,,,,,,,,,G2345678,,E1 6AN,P40002,JONES,
,,,,,,,202212281115,,,,,,,,G3456789,,,,,,,,,,,,G3456789,,N1 9GU,P40003,PATEL,
,,,,,,,202412241215,,,,,,,,G4567890,,,,,,,,,,,,G4567890,,EC4M 5WT,P40004,WILLIAMS,
,,,,,,,202405121500,,,,,,,,G5678901,,,,,,,,,,,,G5678901,,WC2N 5DU,P40005,BROWN,
,,,,,,,202411081215,,,,,,,,G6789012,,,,,,,,,,,,G6789012,,SE1 7PB,P40006,SHARMA,
,,,,,,,202401100815,,,,,,,,G7890123,,,,,,,,,,,,G7890123,,W1A 1AA,P40007,TAYLOR,
,,,,,,,202206071545,,,,,,,,G8901234,,,,,,,,,,,,G8901234,,SW1A 2AA,P40008,AHMED,
,,,,,,,202406151415,,,,,,,,G9012345,,,,,,,,,,,,G9012345,,E1 6AN,P40009,DAVIS,
,,,,,,,202308181215,,,,,,,,G0123456,,,,,,,,,,,,G0123456,,N1 9GU,P40010,WILSON,
,,,,,,,202210040800,,,,,,,,G1122334,,,,,,,,,,,,G1122334,,EC4M 5WT,P40011,HARRIS,
,,,,,,,202401280830,,,,,,,,G2233445,,,,,,,,,,,,G2233445,,WC2N 5DU,P40012,MARTIN,
,,,,,,,202205151415,,,,,,,,G3344556,,,,,,,,,,,,G3344556,,SE1 7PB,P40013,THOMPSON,
,,,,,,,202201121115,,,,,,,,G4455667,,,,,,,,,,,,G4455667,,W1A 1AA,P40014,GARCIA,
,,,,,,,202312120930,,,,,,,,G5566778,,,,,,,,,,,,G5566778,,SW1A 2AA,P40015,MARTINEZ,
,,,,,,,202311011200,,,,,,,,G6677889,,,,,,,,,,,,G6677889,,E1 6AN,P40016,ROBINSON,
,,,,,,,202205051245,,,,,,,,G7788990,,,,,,,,,,,,G7788990,,N1 9GU,P40017,CLARK,
,,,,,,,202202210845,,,,,,,,G8899001,,,,,,,,,,,,G8899001,,EC4M 5WT,P40018,LEWIS,
,,,,,,,202201040915,,,,,,,,G9900112,,,,,,,,,,,,G9900112,,WC2N 5DU,P40019,LEE,
,,,,,,,202310231630,,,,,,,,G0011223,,,,,,,,,,,,G0011223,,SE1 7PB,P40020,WALKER,
