record_number,system_code,external_system_id,main_crn_type,main_crn,date_registered,nhs_number,nhs_number_statusnhs,sex,title,pat_name_1,pat_name_2,pat_name_3,pat_name_family,maiden_name,of_birth,place_born,entered_country,nationality,ethnic_group,preferred_language,religion_code,marital_status,occupation_code,where_heard_of_service,pat_address_1,pat_address_2,pat_address_3,pat_address_4,post_code,telephone_no,telephone_no_2,telephone_no_3,pat_email_address,pat_lives_alone,pat_permission_to_contact,pat_permission_to_phone,pat_address_from,of_death,where_died,cause_of_death,death_treatment_related,death_hiv_related,extra_info_1_type,extra_info_1,extra_info_2_type,extra_info_2,extra_info_3_type,extra_info_3,extra_info_4_type,extra_info_4,extra_info_5_type,extra_info_5,extra_info_6_type,extra_info_6,extra_info_7_type,extra_info_7,extra_info_8_type,extra_info_8,extra_info_9_type,extra_info_9,extra_info_10_type,extra_info_10,comments,note_1_subject,note_1_text,note_2_subject,note_2_text,nok_relationship,nok_title,nok_name_1,nok_name_family,nok_address_1,nok_address_2,nok_address_3,nok_address_4,nok_post_code,nok_telephone_1,nok_telephone_2,nok_comments,pat_permission_to_copy_gp,gp_national_code,practice_national_code,practice_post_code,practice_applies_from,gdp_national_code,gdp_practice_national_code,gdp_practice_post_code,gdp_practice_applies_from
1,SRC_PAS_V83,MRN10001,PAS,MRN10001,16/12/1982,9434765919,A,1,MR,JAMES,,,SMITH,,,ABROAD,,GBR,A,EN,M,M,40,,14 High Street,London,,,SW1A 2AA,020 7700 3000,020 7700 3000,020 7700 3000,james.smith@qvh.nhs.uk,Y,Y,Y,28/09/2008,,,,,,,,,,,,,,,,,,,,,,,,,,No clinical issues noted,,,,,SIBLING,MRS,MARY SMITH,MARY SMITH,14 High Street,14 High Street,14 High Street,14 High Street,SW1A 2AA,07700100000,07700100000,Next of kin informed,Y,G1234567,P40001,SW1A 2AA,,G1234567,P40001,SW1A 2AA,
2,SRC_PAS_V83,MRN10002,PAS,MRN10002,18/04/2010,9434765927,S,2,MRS,SARAH,,,JONES,JONES,,ABROAD,,GBR,B,EN,J,W,30,,22 Church Lane,Manchester,,,E1 6AN,020 7701 3001,020 7701 3001,020 7701 3001,sarah.jones@qvh.nhs.uk,N,Y,Y,04/08/2016,,,,,,,,,,,,,,,,,,,,,,,,,,No clinical issues noted,,,,,CHILD,MRS,MARY JONES,MARY JONES,22 Church Lane,22 Church Lane,22 Church Lane,22 Church Lane,E1 6AN,07701100001,07701100001,Next of kin informed,Y,G2345678,P40002,E1 6AN,,G2345678,P40002,E1 6AN,
3,SRC_PAS_V83,MRN10003,PAS,MRN10003,11/02/1987,9434765935,A,1,MR,MOHAMMED,,,PATEL,,,ABROAD,,GBR,C,EN,N,M,20,,5 Oak Avenue,Birmingham,,,N1 9GU,020 7702 3002,020 7702 3002,020 7702 3002,mohammed.patel@qvh.nhs.uk,Y,Y,Y,21/12/2002,,,,,,,,,,,,,,,,,,,,,,,,,,No clinical issues noted,,,,,SPOUSE,MRS,MARY PATEL,MARY PATEL,5 Oak Avenue,5 Oak Avenue,5 Oak Avenue,5 Oak Avenue,N1 9GU,07702100002,07702100002,Next of kin informed,Y,G3456789,P40003,N1 9GU,,G3456789,P40003,N1 9GU,
4,SRC_PAS_V83,MRN10004,PAS,MRN10004,02/02/1987,9434765943,R,2,MRS,EMILY,,,WILLIAMS,WILLIAMS,,LONDON,,GBR,D,EN,N,M,30,,8 Station Road,Leeds,,,EC4M 5WT,020 7703 3003,020 7703 3003,020 7703 3003,emily.williams@qvh.nhs.uk,N,Y,Y,05/09/2006,,,,,,,,,,,,,,,,,,,,,,,,,,No clinical issues noted,,,,,SIBLING,MRS,MARY WILLIAMS,MARY WILLIAMS,8 Station Road,8 Station Road,8 Station Road,8 Station Road,EC4M 5WT,07703100003,07703100003,Next of kin informed,Y,G4567890,P40004,EC4M 5WT,,G4567890,P40004,EC4M 5WT,
5,SRC_PAS_V83,MRN10005,PAS,MRN10005,26/08/1987,9434765951,W,1,MR,DAVID,,,BROWN,,,LONDON,,GBR,G,EN,C,S,40,,3 The Green,Sheffield,,,WC2N 5DU,020 7704 3004,020 7704 3004,020 7704 3004,david.brown@qvh.nhs.uk,N,Y,Y,15/07/2013,,,,,,,,,,,,,,,,,,,,,,,,,,No clinical issues noted,,,,,SPOUSE,MRS,MARY BROWN,MARY BROWN,3 The Green,3 The Green,3 The Green,3 The Green,WC2N 5DU,07704100004,07704100004,Next of kin informed,Y,G5678901,P40005,WC2N 5DU,,G5678901,P40005,WC2N 5DU,
6,SRC_PAS_V83,MRN10006,PAS,MRN10006,21/11/2001,9434765978,A,2,MRS,PRIYA,,,SHARMA,SHARMA,,LONDON,,GBR,H,EN,H,D,10,,17 Rose Avenue,Bristol,,,SE1 7PB,020 7705 3005,020 7705 3005,020 7705 3005,priya.sharma@qvh.nhs.uk,Y,Y,Y,18/04/2006,,,,,,,,,,,,,,,,,,,,,,,,,,No clinical issues noted,,,,,SIBLING,MRS,MARY SHARMA,MARY SHARMA,17 Rose Avenue,17 Rose Avenue,17 Rose Avenue,17 Rose Avenue,SE1 7PB,07705100005,07705100005,Next of kin informed,Y,G6789012,P40006,SE1 7PB,,G6789012,P40006,SE1 7PB,
7,SRC_PAS_V83,MRN10007,PAS,MRN10007,06/07/1984,9434765978,R,1,MR,ROBERT,,,TAYLOR,,,BIRMINGHAM,,GBR,A,EN,M,S,40,,9 Elm Close,Liverpool,,,W1A 1AA,020 7706 3006,020 7706 3006,020 7706 3006,robert.taylor@qvh.nhs.uk,Y,Y,Y,18/11/2001,,,,,,,,,,,,,,,,,,,,,,,,,,No clinical issues noted,,,,,SPOUSE,MRS,MARY TAYLOR,MARY TAYLOR,9 Elm Close,9 Elm Close,9 Elm Close,9 Elm Close,W1A 1AA,07706100006,07706100006,Next of kin informed,Y,G7890123,P40007,W1A 1AA,,G7890123,P40007,W1A 1AA,
8,SRC_PAS_V83,MRN10008,PAS,MRN10008,06/04/1982,9434765986,W,2,MRS,FATIMA,,,AHMED,AHMED,,BIRMINGHAM,,GBR,C,EN,H,M,40,,33 Park Road,London,,,SW1A 2AA,020 7707 3007,020 7707 3007,020 7707 3007,fatima.ahmed@qvh.nhs.uk,Y,Y,Y,01/07/2005,,,,,,,,,,,,,,,,,,,,,,,,,,No clinical issues noted,,,,,SIBLING,MRS,MARY AHMED,MARY AHMED,33 Park Road,33 Park Road,33 Park Road,33 Park Road,SW1A 2AA,07707100007,07707100007,Next of kin informed,Y,G8901234,P40008,SW1A 2AA,,G8901234,P40008,SW1A 2AA,
9,SRC_PAS_V83,MRN10009,PAS,MRN10009,10/08/1988,9434765994,W,1,MR,THOMAS,,,DAVIS,,,ABROAD,,GBR,Z,EN,N,W,20,,6 Victoria Street,Nottingham,,,E1 6AN,020 7708 3008,020 7708 3008,020 7708 3008,thomas.davis@qvh.nhs.uk,Y,Y,Y,02/04/2009,,,,,,,,,,,,,,,,,,,,,,,,,,No clinical issues noted,,,,,SPOUSE,MRS,MARY DAVIS,MARY DAVIS,6 Victoria Street,6 Victoria Street,6 Victoria Street,6 Victoria Street,E1 6AN,07708100008,07708100008,Next of kin informed,Y,G9012345,P40009,E1 6AN,,G9012345,P40009,E1 6AN,
10,SRC_PAS_V83,MRN10010,PAS,MRN10010,02/06/2003,9434766001,A,2,MRS,LUCY,,,WILSON,WILSON,,ABROAD,,GBR,A,EN,H,M,10,,2 Bridge Street,Newcastle,,,N1 9GU,020 7709 3009,020 7709 3009,020 7709 3009,lucy.wilson@qvh.nhs.uk,Y,Y,Y,20/02/2005,,,,,,,,,,,,,,,,,,,,,,,,,,No clinical issues noted,,,,,SPOUSE,MRS,MARY WILSON,MARY WILSON,2 Bridge Street,2 Bridge Street,2 Bridge Street,2 Bridge Street,N1 9GU,07709100009,07709100009,Next of kin informed,Y,G0123456,P40010,N1 9GU,,G0123456,P40010,N1 9GU,
