record_number,loadpmi_record_number,system_code,external_system_id,main_crnload_pmi,contact_type,relationship,parental_responsibility,title,name_1,name_family,address_1,address_2,address_3,address_4,post_code,country_code,phone_1,phone_2,phone_3,comments,applies_start,applies_end
1,1,SRC_PAS_V83,MRN10001,,NOK,,N,MR,,,14 High Street,London,,,SW1A 2AA,GBR,01342 414141,01342 414141,,No clinical issues noted,15/08/2010,31/12/9999
2,2,SRC_PAS_V83,MRN10002,,NOK,,N,MRS,,,22 Church Lane,Manchester,,,E1 6AN,GBR,01342 414141,01342 414141,,No clinical issues noted,07/11/2014,31/12/9999
3,3,SRC_PAS_V83,MRN10003,,NOK,,N,MR,,,5 Oak Avenue,Birmingham,,,N1 9GU,GBR,01342 414141,01342 414141,,No clinical issues noted,26/08/2016,31/12/9999
4,4,SRC_PAS_V83,MRN10004,,NOK,,N,MRS,,,8 Station Road,Leeds,,,EC4M 5WT,GBR,01342 414141,01342 414141,,No clinical issues noted,03/11/2005,31/12/9999
5,5,SRC_PAS_V83,MRN10005,,NOK,,N,MR,,,3 The Green,Sheffield,,,WC2N 5DU,GBR,01342 414141,01342 414141,,No clinical issues noted,22/09/2009,31/12/9999
6,6,SRC_PAS_V83,MRN10006,,NOK,,N,MRS,,,17 Rose Avenue,Bristol,,,SE1 7PB,GBR,01342 414141,01342 414141,,No clinical issues noted,27/02/2010,31/12/9999
7,7,SRC_PAS_V83,MRN10007,,NOK,,N,MR,,,9 Elm Close,Liverpool,,,W1A 1AA,GBR,01342 414141,01342 414141,,No clinical issues noted,10/11/2007,31/12/9999
8,8,SRC_PAS_V83,MRN10008,,NOK,,N,MRS,,,33 Park Road,London,,,SW1A 2AA,GBR,01342 414141,01342 414141,,No clinical issues noted,05/04/2007,31/12/9999
9,9,SRC_PAS_V83,MRN10009,,NOK,,N,MR,,,6 Victoria Street,Nottingham,,,E1 6AN,GBR,01342 414141,01342 414141,,No clinical issues noted,08/01/2000,31/12/9999
10,10,SRC_PAS_V83,MRN10010,,NOK,,N,MRS,,,2 Bridge Street,Newcastle,,,N1 9GU,GBR,01342 414141,01342 414141,,No clinical issues noted,28/10/2015,31/12/9999
11,11,SRC_PAS_V83,MRN10011,,NOK,,N,MR,,,45 Kings Lane,Oxford,,,EC4M 5WT,GBR,01342 414141,01342 414141,,No clinical issues noted,14/08/2002,31/12/9999
12,12,SRC_PAS_V83,MRN10012,,NOK,,N,MRS,,,19 Queen Street,Cambridge,,,WC2N 5DU,GBR,01342 414141,01342 414141,,No clinical issues noted,23/04/2018,31/12/9999
13,13,SRC_PAS_V83,MRN10013,,NOK,,N,MR,,,88 Mill Road,Coventry,,,SE1 7PB,GBR,01342 414141,01342 414141,,No clinical issues noted,13/08/2012,31/12/9999
14,14,SRC_PAS_V83,MRN10014,,NOK,,N,MRS,,,7 Meadow Way,Leicester,,,W1A 1AA,GBR,01342 414141,01342 414141,,No clinical issues noted,21/03/2007,31/12/9999
15,15,SRC_PAS_V83,MRN10015,,NOK,,N,MR,,,52 Forest Road,Norwich,,,SW1A 2AA,GBR,01342 414141,01342 414141,,No clinical issues noted,25/02/2000,31/12/9999
16,16,SRC_PAS_V83,MRN10016,,NOK,,N,MRS,,,11 Castle Hill,Exeter,,,E1 6AN,GBR,01342 414141,01342 414141,,No clinical issues noted,06/04/2013,31/12/9999
17,17,SRC_PAS_V83,MRN10017,,NOK,,N,MR,,,29 Windmill Lane,Gloucester,,,N1 9GU,GBR,01342 414141,01342 414141,,No clinical issues noted,02/08/2016,31/12/9999
18,18,SRC_PAS_V83,MRN10018,,NOK,,N,MRS,,,3 Harbour Close,Portsmouth,,,EC4M 5WT,GBR,01342 414141,01342 414141,,No clinical issues noted,28/04/2017,31/12/9999
19,19,SRC_PAS_V83,MRN10019,,NOK,,N,MR,,,66 Priory Road,Brighton,,,WC2N 5DU,GBR,01342 414141,01342 414141,,No clinical issues noted,05/08/2003,31/12/9999
20,20,SRC_PAS_V83,MRN10020,,NOK,,N,MRS,,,14 Orchard Gdns,Southampton,,,SE1 7PB,GBR,01342 414141,01342 414141,,No clinical issues noted,17/11/2014,31/12/9999
