record_number,system_code,external_system_id,user_name,first_name,middle_name,family_name,acters,job_id,password,psswd_life_months,psswd_expiry_date,language_id,staff_id,default_parts_entity,default_tools_entity,default_labour_entity,employee_flag,default_stock_entity,staff_security_level,phone_no,extension_no,default_login_entity,eoasis_user,allow_logon,default_executable,gp_national_code,type_of_user,login_from_date,login_to_date,practice_national_code,email_address,can_log_support_calls,ask_review_warnings,from_time,to_time,mon_allowed,tue_allowed,wed_allowed,thu_allowed,fri_allowed,sat_allowed,sun_allowed
1,SRC_PAS_V83,MRN10001,USER001,JAMES,,SMITH,,41,HASHED_PLACEHOLDER,12,31/12/2026,1,S0001,QVH,QVH,QVH,Y,QVH,STANDARD,020 7700 3000,1001,QVH,Y,Y,,G1234567,CLINICAL,01/04/2024,31/12/9999,P40001,james.smith@qvh.nhs.uk,N,Y,800,1800,Y,Y,Y,Y,Y,N,N
2,SRC_PAS_V83,MRN10002,USER002,SARAH,,JONES,,2,HASHED_PLACEHOLDER,12,31/12/2026,1,S0002,QVH,QVH,QVH,Y,QVH,STANDARD,020 7701 3001,1002,QVH,Y,Y,,G2345678,MANAGER,01/04/2024,31/12/9999,P40002,sarah.jones@qvh.nhs.uk,N,Y,800,1800,Y,Y,Y,Y,Y,N,N
3,SRC_PAS_V83,MRN10003,USER003,MOHAMMED,,PATEL,,18,HASHED_PLACEHOLDER,12,31/12/2026,1,S0003,QVH,QVH,QVH,Y,QVH,STANDARD,020 7702 3002,1003,QVH,Y,Y,,G3456789,CLINICAL,01/04/2024,31/12/9999,P40003,mohammed.patel@qvh.nhs.uk,N,Y,800,1800,Y,Y,Y,Y,Y,N,N
4,SRC_PAS_V83,MRN10004,USER004,EMILY,,WILLIAMS,,15,HASHED_PLACEHOLDER,12,31/12/2026,1,S0004,QVH,QVH,QVH,Y,QVH,STANDARD,020 7703 3003,1004,QVH,Y,Y,,G4567890,CLINICAL,01/04/2024,31/12/9999,P40004,emily.williams@qvh.nhs.uk,N,Y,800,1800,Y,Y,Y,Y,Y,N,N
5,SRC_PAS_V83,MRN10005,USER005,DAVID,,BROWN,,48,HASHED_PLACEHOLDER,12,31/12/2026,1,S0005,QVH,QVH,QVH,Y,QVH,STANDARD,020 7704 3004,1005,QVH,Y,Y,,G5678901,CLINICAL,01/04/2024,31/12/9999,P40005,david.brown@qvh.nhs.uk,N,Y,800,1800,Y,Y,Y,Y,Y,N,N
6,SRC_PAS_V83,MRN10006,USER006,PRIYA,,SHARMA,,44,HASHED_PLACEHOLDER,12,31/12/2026,1,S0006,QVH,QVH,QVH,Y,QVH,STANDARD,020 7705 3005,1006,QVH,Y,Y,,G6789012,MANAGER,01/04/2024,31/12/9999,P40006,priya.sharma@qvh.nhs.uk,N,Y,800,1800,Y,Y,Y,Y,Y,N,N
7,SRC_PAS_V83,MRN10007,USER007,ROBERT,,TAYLOR,,35,HASHED_PLACEHOLDER,12,31/12/2026,1,S0007,QVH,QVH,QVH,Y,QVH,STANDARD,020 7706 3006,1007,QVH,Y,Y,,G7890123,CLINICAL,01/04/2024,31/12/9999,P40007,robert.taylor@qvh.nhs.uk,N,Y,800,1800,Y,Y,Y,Y,Y,N,N
8,SRC_PAS_V83,MRN10008,USER008,FATIMA,,AHMED,,38,HASHED_PLACEHOLDER,12,31/12/2026,1,S0008,QVH,QVH,QVH,Y,QVH,STANDARD,020 7707 3007,1008,QVH,Y,Y,,G8901234,ADMIN,01/04/2024,31/12/9999,P40008,fatima.ahmed@qvh.nhs.uk,N,Y,800,1800,Y,Y,Y,Y,Y,N,N
9,SRC_PAS_V83,MRN10009,USER009,THOMAS,,DAVIS,,3,HASHED_PLACEHOLDER,12,31/12/2026,1,S0009,QVH,QVH,QVH,Y,QVH,STANDARD,020 7708 3008,1009,QVH,Y,Y,,G9012345,CLINICAL,01/04/2024,31/12/9999,P40009,thomas.davis@qvh.nhs.uk,N,Y,800,1800,Y,Y,Y,Y,Y,N,N
10,SRC_PAS_V83,MRN10010,USER010,LUCY,,WILSON,,6,HASHED_PLACEHOLDER,12,31/12/2026,1,S0010,QVH,QVH,QVH,Y,QVH,STANDARD,020 7709 3009,1010,QVH,Y,Y,,G0123456,CLINICAL,01/04/2024,31/12/9999,P40010,lucy.wilson@qvh.nhs.uk,N,Y,800,1800,Y,Y,Y,Y,Y,N,N
