practice_post_code,applies_start,applies_end,record_number,system_code,external_system_id,hospital_code,site,location_type,user_code,description,active_flag
SW1A 2AA,,,1,SRC_PAS_V83,AUTO0001,AUTO0001,,GEN,AUTO0001,Auto-derived value,N
E1 6AN,,,2,SRC_PAS_V83,AUTO0002,AUTO0002,,GEN,AUTO0002,Auto-derived value,N
N1 9GU,,,3,SRC_PAS_V83,AUTO0003,AUTO0003,,GEN,AUTO0003,Auto-derived value,N
EC4M 5WT,,,4,SRC_PAS_V83,AUTO0004,AUTO0004,,GEN,AUTO0004,Auto-derived value,N
WC2N 5DU,,,5,SRC_PAS_V83,AUTO0005,AUTO0005,,GEN,AUTO0005,Auto-derived value,N
SE1 7PB,,,6,SRC_PAS_V83,AUTO0006,AUTO0006,,GEN,AUTO0006,Auto-derived value,N
W1A 1AA,,,7,SRC_PAS_V83,AUTO0007,AUTO0007,,GEN,AUTO0007,Auto-derived value,N
SW1A 2AA,,,8,SRC_PAS_V83,AUTO0008,AUTO0008,,GEN,AUTO0008,Auto-derived value,N
E1 6AN,,,9,SRC_PAS_V83,AUTO0009,AUTO0009,,GEN,AUTO0009,Auto-derived value,N
N1 9GU,,,10,SRC_PAS_V83,AUTO0010,AUTO0010,,GEN,AUTO0010,Auto-derived value,N
EC4M 5WT,,,11,SRC_PAS_V83,AUTO0011,AUTO0011,,GEN,AUTO0011,Auto-derived value,N
WC2N 5DU,,,12,SRC_PAS_V83,AUTO0012,AUTO0012,,GEN,AUTO0012,Auto-derived value,N
SE1 7PB,,,13,SRC_PAS_V83,AUTO0013,AUTO0013,,GEN,AUTO0013,Auto-derived value,N
W1A 1AA,,,14,SRC_PAS_V83,AUTO0014,AUTO0014,,GEN,AUTO0014,Auto-derived value,N
SW1A 2AA,,,15,SRC_PAS_V83,AUTO0015,AUTO0015,,GEN,AUTO0015,Auto-derived value,N
E1 6AN,,,16,SRC_PAS_V83,AUTO0016,AUTO0016,,GEN,AUTO0016,Auto-derived value,N
N1 9GU,,,17,SRC_PAS_V83,AUTO0017,AUTO0017,,GEN,AUTO0017,Auto-derived value,N
EC4M 5WT,,,18,SRC_PAS_V83,AUTO0018,AUTO0018,,GEN,AUTO0018,Auto-derived value,N
WC2N 5DU,,,19,SRC_PAS_V83,AUTO0019,AUTO0019,,GEN,AUTO0019,Auto-derived value,N
SE1 7PB,,,20,SRC_PAS_V83,AUTO0020,AUTO0020,,GEN,AUTO0020,Auto-derived value,N
