record_number,loadpmi_record_number,system_code,external_system_id,main_crnload_pmi,contact_type,relationship,parental_responsibility,title,name_1,name_family,address_1,address_2,address_3,address_4,post_code,country_code,phone_1,phone_2,phone_3,comments,applies_start,applies_end
1,1,SRC_PAS_V83,MRN10001,,GEN,,,MX,JAMES,JAMES,,,,,SW1A 2AA,AUTO0001,00000000000,00000000000,00000000000,No issues noted,01/01/2000,31/12/9999
2,2,SRC_PAS_V83,MRN10002,,GEN,,,MX,SARAH,SARAH,,,,,E1 6AN,AUTO0002,00000000000,00000000000,00000000000,No issues noted,01/01/2000,31/12/9999
3,3,SRC_PAS_V83,MRN10003,,GEN,,,MX,MOHAMMED,MOHAMMED,,,,,N1 9GU,AUTO0003,00000000000,00000000000,00000000000,No issues noted,01/01/2000,31/12/9999
4,4,SRC_PAS_V83,MRN10004,,GEN,,,MX,EMILY,EMILY,,,,,EC4M 5WT,AUTO0004,00000000000,00000000000,00000000000,No issues noted,01/01/2000,31/12/9999
5,5,SRC_PAS_V83,MRN10005,,GEN,,,MX,DAVID,DAVID,,,,,WC2N 5DU,AUTO0005,00000000000,00000000000,00000000000,No issues noted,01/01/2000,31/12/9999
6,6,SRC_PAS_V83,MRN10006,,GEN,,,MX,PRIYA,PRIYA,,,,,SE1 7PB,AUTO0006,00000000000,00000000000,00000000000,No issues noted,01/01/2000,31/12/9999
7,7,SRC_PAS_V83,MRN10007,,GEN,,,MX,ROBERT,ROBERT,,,,,W1A 1AA,AUTO0007,00000000000,00000000000,00000000000,No issues noted,01/01/2000,31/12/9999
8,8,SRC_PAS_V83,MRN10008,,GEN,,,MX,FATIMA,FATIMA,,,,,SW1A 2AA,AUTO0008,00000000000,00000000000,00000000000,No issues noted,01/01/2000,31/12/9999
9,9,SRC_PAS_V83,MRN10009,,GEN,,,MX,THOMAS,THOMAS,,,,,E1 6AN,AUTO0009,00000000000,00000000000,00000000000,No issues noted,01/01/2000,31/12/9999
10,10,SRC_PAS_V83,MRN10010,,GEN,,,MX,LUCY,LUCY,,,,,N1 9GU,AUTO0010,00000000000,00000000000,00000000000,No issues noted,01/01/2000,31/12/9999
11,11,SRC_PAS_V83,MRN10011,,GEN,,,MX,GEORGE,GEORGE,,,,,EC4M 5WT,AUTO0011,00000000000,00000000000,00000000000,No issues noted,01/01/2000,31/12/9999
12,12,SRC_PAS_V83,MRN10012,,GEN,,,MX,AMELIA,AMELIA,,,,,WC2N 5DU,AUTO0012,00000000000,00000000000,00000000000,No issues noted,01/01/2000,31/12/9999
13,13,SRC_PAS_V83,MRN10013,,GEN,,,MX,OLIVER,OLIVER,,,,,SE1 7PB,AUTO0013,00000000000,00000000000,00000000000,No issues noted,01/01/2000,31/12/9999
14,14,SRC_PAS_V83,MRN10014,,GEN,,,MX,SOPHIA,SOPHIA,,,,,W1A 1AA,AUTO0014,00000000000,00000000000,00000000000,No issues noted,01/01/2000,31/12/9999
15,15,SRC_PAS_V83,MRN10015,,GEN,,,MX,WILLIAM,WILLIAM,,,,,SW1A 2AA,AUTO0015,00000000000,00000000000,00000000000,No issues noted,01/01/2000,31/12/9999
16,16,SRC_PAS_V83,MRN10016,,GEN,,,MX,ISABELLA,ISABELLA,,,,,E1 6AN,AUTO0016,00000000000,00000000000,00000000000,No issues noted,01/01/2000,31/12/9999
17,17,SRC_PAS_V83,MRN10017,,GEN,,,MX,HENRY,HENRY,,,,,N1 9GU,AUTO0017,00000000000,00000000000,00000000000,No issues noted,01/01/2000,31/12/9999
18,18,SRC_PAS_V83,MRN10018,,GEN,,,MX,MIA,MIA,,,,,EC4M 5WT,AUTO0018,00000000000,00000000000,00000000000,No issues noted,01/01/2000,31/12/9999
19,19,SRC_PAS_V83,MRN10019,,GEN,,,MX,CHARLES,CHARLES,,,,,WC2N 5DU,AUTO0019,00000000000,00000000000,00000000000,No issues noted,01/01/2000,31/12/9999
20,20,SRC_PAS_V83,MRN10020,,GEN,,,MX,GRACE,GRACE,,,,,SE1 7PB,AUTO0020,00000000000,00000000000,00000000000,No issues noted,01/01/2000,31/12/9999
