record_number,system_code,external_system_id,user_name,first_name,middle_name,family_name,acters,job_id,password,psswd_life_months,psswd_expiry_date,language_id,staff_id,default_parts_entity,default_tools_entity,default_labour_entity,employee_flag,default_stock_entity,staff_security_level,phone_no,extension_no,default_login_entity,eoasis_user,allow_logon,default_executable,gp_national_code,type_of_user,login_from_date,login_to_date,practice_national_code,email_address,can_log_support_calls,ask_review_warnings,from_time,to_time,mon_allowed,tue_allowed,wed_allowed,thu_allowed,fri_allowed,sat_allowed,sun_allowed
1,SRC_PAS_V83,AUTO0001,Reference Value 1,Reference Value 1,Reference Value 1,Reference Value 1,,AUTO0001,,,01/01/2024,AUTO0001,AUTO0001,,,,N,,,AUTO0001,AUTO0001,,,N,,REF0001,GEN,01/01/2024,01/01/2024,REF0001,user001@example.nhs.uk,,,09:00,09:00,,,,,,,
2,SRC_PAS_V83,AUTO0002,Reference Value 2,Reference Value 2,Reference Value 2,Reference Value 2,,AUTO0002,,,01/01/2024,AUTO0002,AUTO0002,,,,N,,,AUTO0002,AUTO0002,,,N,,REF0002,GEN,01/01/2024,01/01/2024,REF0002,user002@example.nhs.uk,,,09:00,09:00,,,,,,,
3,SRC_PAS_V83,AUTO0003,Reference Value 3,Reference Value 3,Reference Value 3,Reference Value 3,,AUTO0003,,,01/01/2024,AUTO0003,AUTO0003,,,,N,,,AUTO0003,AUTO0003,,,N,,REF0003,GEN,01/01/2024,01/01/2024,REF0003,user003@example.nhs.uk,,,09:00,09:00,,,,,,,
4,SRC_PAS_V83,AUTO0004,Reference Value 4,Reference Value 4,Reference Value 4,Reference Value 4,,AUTO0004,,,01/01/2024,AUTO0004,AUTO0004,,,,N,,,AUTO0004,AUTO0004,,,N,,REF0004,GEN,01/01/2024,01/01/2024,REF0004,user004@example.nhs.uk,,,09:00,09:00,,,,,,,
5,SRC_PAS_V83,AUTO0005,Reference Value 5,Reference Value 5,Reference Value 5,Reference Value 5,,AUTO0005,,,01/01/2024,AUTO0005,AUTO0005,,,,N,,,AUTO0005,AUTO0005,,,N,,REF0005,GEN,01/01/2024,01/01/2024,REF0005,user005@example.nhs.uk,,,09:00,09:00,,,,,,,
6,SRC_PAS_V83,AUTO0006,Reference Value 6,Reference Value 6,Reference Value 6,Reference Value 6,,AUTO0006,,,01/01/2024,AUTO0006,AUTO0006,,,,N,,,AUTO0006,AUTO0006,,,N,,REF0006,GEN,01/01/2024,01/01/2024,REF0006,user006@example.nhs.uk,,,09:00,09:00,,,,,,,
7,SRC_PAS_V83,AUTO0007,Reference Value 7,Reference Value 7,Reference Value 7,Reference Value 7,,AUTO0007,,,01/01/2024,AUTO0007,AUTO0007,,,,N,,,AUTO0007,AUTO0007,,,N,,REF0007,GEN,01/01/2024,01/01/2024,REF0007,user007@example.nhs.uk,,,09:00,09:00,,,,,,,
8,SRC_PAS_V83,AUTO0008,Reference Value 8,Reference Value 8,Reference Value 8,Reference Value 8,,AUTO0008,,,01/01/2024,AUTO0008,AUTO0008,,,,N,,,AUTO0008,AUTO0008,,,N,,REF0008,GEN,01/01/2024,01/01/2024,REF0008,user008@example.nhs.uk,,,09:00,09:00,,,,,,,
9,SRC_PAS_V83,AUTO0009,Reference Value 9,Reference Value 9,Reference Value 9,Reference Value 9,,AUTO0009,,,01/01/2024,AUTO0009,AUTO0009,,,,N,,,AUTO0009,AUTO0009,,,N,,REF0009,GEN,01/01/2024,01/01/2024,REF0009,user009@example.nhs.uk,,,09:00,09:00,,,,,,,
10,SRC_PAS_V83,AUTO0010,Reference Value 10,Reference Value 10,Reference Value 10,Reference Value 10,,AUTO0010,,,01/01/2024,AUTO0010,AUTO0010,,,,N,,,AUTO0010,AUTO0010,,,N,,REF0010,GEN,01/01/2024,01/01/2024,REF0010,user010@example.nhs.uk,,,09:00,09:00,,,,,,,
11,SRC_PAS_V83,AUTO0011,Reference Value 11,Reference Value 11,Reference Value 11,Reference Value 11,,AUTO0011,,,01/01/2024,AUTO0011,AUTO0011,,,,N,,,AUTO0011,AUTO0011,,,N,,REF0011,GEN,01/01/2024,01/01/2024,REF0011,user011@example.nhs.uk,,,09:00,09:00,,,,,,,
